,as_is_hash_1000,floor_hash_1000,length_hash_1000,sum_hash_1000,poly_hash_1000,murmur_hash_1000
410,112,1,0,144,104,108
411,116,2,0,142,71,88
412,81,2,0,168,109,98
413,83,3,0,161,95,101
414,101,0,0,157,112,103
415,96,3,0,148,100,105
416,77,4,0,139,90,112
417,95,2,0,144,77,90
418,88,0,0,130,100,97
419,91,1,0,146,108,92
420,106,3,0,172,81,98
421,103,3,0,134,114,96
422,83,3,0,151,93,113
423,103,5,0,134,101,83
424,102,14,0,162,107,89
425,88,2,0,147,111,95
426,102,2,0,136,90,97
427,98,3,0,135,80,115
428,97,1,0,134,109,108
429,109,6,0,152,106,105
430,104,1,0,142,98,92
431,100,1,0,148,102,93
432,98,6,0,135,106,93
433,97,1,0,127,109,114
434,97,1,0,139,110,90
435,124,6,0,137,109,110
436,76,1,0,143,86,89
437,113,1,0,162,96,100
438,90,2,0,148,100,105
439,107,5,0,143,95,103
440,100,5,0,153,102,123
441,92,6,0,157,107,104
442,106,5,0,149,106,87
443,96,2,0,157,96,87
444,92,3,0,145,102,96
445,85,6,0,132,124,91
446,100,2,0,152,110,105
447,110,5,0,149,100,79
448,104,3,0,147,115,108
449,83,1,0,134,88,103
450,111,2,0,140,111,92
451,95,0,0,144,97,89
452,103,2,0,139,107,95
453,109,4,0,145,99,98
454,89,2,0,153,97,108
455,116,2,0,132,93,105
456,92,7,0,125,112,110
457,103,2,0,132,123,93
458,85,2,0,148,89,97
459,93,4,0,155,86,130
460,88,1,0,144,109,104
461,94,2,0,138,93,111
462,93,4,0,175,100,108
463,91,3,0,138,109,87
464,121,6,0,139,98,83
465,88,3,0,134,95,93
466,122,3,0,146,107,102
467,87,0,0,162,104,120
468,91,3,0,149,90,87
469,103,3,0,149,96,94
470,91,2,0,132,114,101
471,90,2,0,154,108,106
472,118,6,0,142,95,98
473,94,2,0,132,87,98
474,100,4,0,142,91,109
475,91,1,0,118,105,100
476,101,1,0,139,94,103
477,115,2,0,159,99,88
478,111,0,0,123,103,97
479,108,5,0,167,111,113
480,97,4,0,148,88,96
481,97,2,0,133,100,97
482,94,2,0,144,111,116
483,105,4,0,164,116,110
484,94,5,0,143,93,99
485,100,1,0,130,106,82
486,118,1,0,138,93,92
487,112,1,0,138,100,96
488,89,5,0,140,102,96
489,94,3,0,152,102,86
490,115,2,0,155,102,97
491,87,2,0,141,101,101
492,80,3,0,157,108,108
493,97,3,0,125,86,103
494,81,3,0,138,105,101
495,107,6,0,143,109,93
496,104,4,0,135,119,89
497,85,0,0,121,94,113
498,110,3,0,134,99,96
499,106,0,0,133,103,106
500,91,2,0,132,89,95
501,88,2,0,130,98,100
502,91,4,0,140,102,98
503,88,4,0,141,100,94
504,110,5,0,135,105,107
505,90,5,0,120,87,113
506,119,5,0,140,83,103
507,108,4,0,109,98,89
508,93,2,0,122,94,115
509,92,1,0,135,90,91
510,105,3,0,133,84,110
511,100,5,0,124,101,105
512,79,3,0,161,115,89
513,100,3,0,161,87,102
514,117,6,0,125,91,102
515,89,7,0,174,102,95
516,103,2,0,134,85,93
517,85,2,0,138,89,96
518,128,1,0,135,114,87
519,92,0,0,137,107,107
